id num,id,time1,time2,org_lon,org_lat,des_lon,des_lat,newt1,newt2,distance,drive time,org_sta,org_dis,org_time,des_sta,des_dis,des_time
14727,09f00fe13509df1955f6047011b210ec,1478046620,1478047809,104.05441,30.65566,104.07138,30.61711,30620,31809,5958,851,166.0,606.0,606.0,224.0,590.0,590.0
14728,feafeb2db471510640cc3fb4c7346946,1478043050,1478046831,103.992477,30.608345,104.0706,30.676890000000004,27050,30831,13877,1982,24.0,332.0,332.0,234.0,705.0,705.0
14729,415b42328ee0de35b37510d6fc335698,1478044460,1478046539,104.17736,30.656840000000006,104.0747,30.695940000000004,28460,30539,13958,1994,13.0,1542.0,1542.0,85.0,100.0,100.0
14730,36c4459ad97d84e215523423b1d71142,1478047022,1478047906,104.07257,30.69455,104.0526,30.663590000000006,31022,31906,5117,731,85.0,231.0,231.0,117.0,352.0,352.0
14731,d5520c50af1ed797cf767b1cdb46a273,1478047887,1478049427,104.07398,30.68568,104.00081,30.67611,31887,33427,9201,1314,165.0,167.0,167.0,162.0,285.0,285.0
14732,1aa0419c76348dd752a32e434f109e04,1478043698,1478044521,104.142685,30.677898,104.09473,30.69997,27698,28521,6761,965,184.0,301.0,301.0,277.0,499.0,499.0
14733,f9689fef2cb388ff63ecf6949f420df2,1478046331,1478047660,104.08615,30.68733,104.0509,30.66395,30331,31660,5534,790,124.0,800.0,800.0,117.0,208.0,208.0
14734,445454827588de1cef3440f832c0aa29,1478048055,1478048931,104.1484,30.6317,104.12329,30.66859,32055,32931,6179,882,18.0,1001.0,1001.0,34.0,717.0,717.0
14735,7343b6fff8525b83b7b22ea8ef341423,1478043768,1478044626,104.02913,30.71421,104.04793,30.683490000000006,27768,28626,5017,716,246.0,676.0,676.0,69.0,11.0,11.0
14736,986f050c465e3d974e643f67111c149b,1478045058,1478046905,104.04835,30.69676,104.04855,30.63621,29058,30905,8752,1250,248.0,273.0,273.0,266.0,511.0,511.0
14737,8e947f80fc286dff9152a050981af825,1478046159,1478048293,104.088394,30.689120000000006,103.9832,30.6443,30159,32293,14596,2085,120.0,763.0,763.0,87.0,677.0,677.0
14738,e5aefa9e490eff6afb970b9ec0b32b21,1478048791,1478049734,104.11548,30.64337,104.14424,30.67282,32791,33734,5559,794,227.0,477.0,477.0,121.0,792.0,792.0
14739,f5c83b44f31c14479210a9220d5d4690,1478045228,1478047065,104.027383,30.746929,104.14162,30.62869,29228,31065,22221,3174,260.0,2445.0,2445.0,14.0,182.0,182.0
14740,ce137f0db8c0c2e3903fae4632b13348,1478047726,1478049723,104.043243,30.682640000000006,103.9867,30.59525,31726,33723,14458,2065,69.0,584.0,584.0,24.0,1839.0,1839.0
14741,0ee602c04c142b40c7c115d93cf52eda,1478043659,1478045655,104.03891,30.742490000000004,104.0771,30.69025,27659,29655,8919,1274,136.0,2507.0,2507.0,85.0,850.0,850.0
14742,6209581860ad7c66628408a6bc068a44,1478047740,1478048890,104.09795,30.69937,104.09189,30.643290000000004,31740,32890,8141,1163,277.0,532.0,532.0,152.0,413.0,413.0
14743,0ee602c04c142b40c7c115d93cf52eda,1478043659,1478045655,104.03891,30.742490000000004,104.0771,30.69025,27659,29655,8919,1274,136.0,2507.0,2507.0,85.0,850.0,850.0
14744,6209581860ad7c66628408a6bc068a44,1478047740,1478048890,104.09795,30.69937,104.09189,30.643290000000004,31740,32890,8141,1163,277.0,532.0,532.0,152.0,413.0,413.0
14745,917840c19221140df4c546390233bb18,1478043788,1478044850,104.04895,30.7546,104.08236,30.70402,27788,28850,8407,1201,79.0,1377.0,1377.0,180.0,163.0,163.0
14746,713c332987b3322adb9413583dbee974,1478045196,1478046239,104.07676,30.71436,104.17088,30.69336,29196,30239,12085,1726,231.0,1341.0,1341.0,184.0,3873.0,3873.0
14747,613dafc55a2b41235674e943d8f413f1,1478046606,1478047558,104.16918,30.69803,104.11847,30.65916,30606,31558,8444,1206,184.0,4098.0,4098.0,176.0,731.0,731.0
14748,917840c19221140df4c546390233bb18,1478043788,1478044850,104.04895,30.7546,104.08236,30.70402,27788,28850,8407,1201,79.0,1377.0,1377.0,180.0,163.0,163.0
14749,4ed4c4785994bb8c939aeda310385e1a,1478045285,1478047396,104.1213,30.76758,104.14162,30.62869,29285,31396,20235,2890,278.0,610.0,610.0,14.0,182.0,182.0
14750,a35040734bb246c03ba76bd50f38e0a6,1478047192,1478048173,104.02,30.650901,104.04907,30.691869,31192,32173,6937,991,134.0,1432.0,1432.0,175.0,459.0,459.0
14751,d8ffd7194a6d1336988ddd995137abe7,1478043403,1478044150,104.05731,30.70185,104.10518,30.695390000000003,27403,28150,6022,860,112.0,1042.0,1042.0,50.0,286.0,286.0
14752,a81092439159a464d466620a57333044,1478044562,1478046103,104.02671,30.64781,104.09526,30.66176,28562,30103,8759,1251,181.0,1866.0,1866.0,252.0,884.0,884.0
14753,b9ec901516d96864b8c1d6a6def0d175,1478045844,1478047585,104.11996,30.62253,104.11734,30.7445,29844,31585,17634,2519,210.0,1068.0,1068.0,114.0,395.0,395.0
14754,83cbfdbd11f2938514645cf9a8197a1c,1478044033,1478046131,104.058998,30.77318,104.07623,30.68562,28033,30131,12836,1833,26.0,791.0,791.0,165.0,410.0,410.0
14755,e053dce4e2431ed72bd87aa62b76bc59,1478045774,1478047189,104.013125,30.687364,104.09783,30.6925,29774,31189,10555,1507,265.0,840.0,840.0,120.0,608.0,608.0
14756,fb31fa03b5e0120839b07e3198cefd67,1478047991,1478049549,104.141167,30.64436,104.08511,30.68237,31991,33549,8875,1267,78.0,692.0,692.0,124.0,220.0,220.0
14757,41c07cb1f216f1300d21d8b9f6ed6bdc,1478043609,1478044459,104.11724,30.68488,104.05492,30.68905,27609,28459,7770,1110,1.0,340.0,340.0,175.0,477.0,477.0
14758,5a029e7077e9a3cbef18569b5cf27181,1478044861,1478045907,104.055092,30.694571000000003,104.00907,30.64783,28861,29907,8853,1264,112.0,252.0,252.0,134.0,513.0,513.0
14759,4b2529ccb6dc439169b313fc1974a65e,1478046235,1478047931,104.0335,30.630540000000003,104.09742,30.65825,30235,31931,8901,1271,116.0,648.0,648.0,275.0,732.0,732.0
14760,9364a33eed097c608cd07303250062e0,1478048336,1478049361,104.10265,30.65652,104.16286,30.68397,32336,33361,8472,1210,275.0,607.0,607.0,184.0,2407.0,2407.0
14761,9364a33eed097c608cd07303250062e0,1478048336,1478049361,104.10265,30.65652,104.16286,30.68397,32336,33361,8472,1210,275.0,607.0,607.0,184.0,2407.0,2407.0
14762,b2b48ee6472b4243db2adaba28500ac5,1478045106,1478045968,104.061744,30.723235,104.08452,30.7582,29106,29968,5792,827,39.0,475.0,475.0,110.0,1945.0,1945.0
14763,4ad05ba4ad28ecbaceb9537722a1d149,1478047499,1478048486,104.103767,30.717279,104.114643,30.650871,31499,32486,9694,1384,38.0,530.0,530.0,228.0,570.0,570.0
14764,15b97ecbe83f44add82d7ee59253f68d,1478047247,1478049647,104.1927,30.810440000000003,104.107373,30.724341,31247,33647,16346,2335,17.0,967.0,967.0,262.0,177.0,177.0
14765,8f3e657c9327cc058ea12007655a34c3,1478043551,1478044569,104.08532,30.65511,104.03939,30.62415,27551,28569,7256,1036,22.0,704.0,704.0,113.0,504.0,504.0
14766,f678771481b5efeb6d7f469a2c8194c0,1478044557,1478046534,104.01135,30.70786,104.07326,30.66031,28557,30534,10318,1474,11.0,397.0,397.0,213.0,765.0,765.0
14767,d82f7e76a3e99c96cb54ebdbf93d9ac7,1478043853,1478045129,104.12987,30.64475,104.07694,30.6724,27853,29129,7700,1100,78.0,1316.0,1316.0,213.0,1104.0,1104.0
14768,d82f7e76a3e99c96cb54ebdbf93d9ac7,1478043853,1478045129,104.12987,30.64475,104.07694,30.6724,27853,29129,7700,1100,78.0,1316.0,1316.0,213.0,1104.0,1104.0
14769,297bad5f72bdcf5074ec8f67e8082651,1478044005,1478044546,104.039091,30.65648,104.03457,30.69108,28005,28546,5033,719,161.0,551.0,551.0,10.0,877.0,877.0
14770,e365122f194859301f805b258556aad5,1478043285,1478044865,104.05024,30.68786,104.03601,30.61907,27285,28865,10100,1442,175.0,220.0,220.0,51.0,263.0,263.0
14771,fc05c607e86fbb7b69331e6894e51f60,1478046466,1478047930,104.001595,30.655453,104.07403,30.6863,30466,31930,10049,1435,134.0,1043.0,1043.0,165.0,244.0,244.0
14772,c2b2c6dd3aeed7678bdb2e69ec80daca,1478048607,1478050034,104.08109,30.68795,104.05428,30.77212,32607,34034,12614,1802,124.0,856.0,856.0,26.0,1346.0,1346.0
14773,55a8b2e4ac06afcc74516a09fd487317,1478046717,1478050007,104.079135,30.807855,104.083284,30.705019,30717,34007,14874,2124,125.0,1469.0,1469.0,180.0,61.0,61.0
14774,55a8b2e4ac06afcc74516a09fd487317,1478046717,1478050007,104.079135,30.807855,104.083284,30.705019,30717,34007,14874,2124,125.0,1469.0,1469.0,180.0,61.0,61.0
14775,0f6f06b238726fb17d1d6b6b186f3f92,1478046919,1478047948,104.080583,30.635992,104.06037,30.67062,30919,31948,5601,800,147.0,614.0,614.0,140.0,881.0,881.0
14776,822af8dfbd0371ac022a71f26b42435f,1478044423,1478047207,104.034019,30.668314,104.07073,30.50872,28423,31207,23517,3359,9.0,734.0,734.0,56.0,686.0,686.0
14777,4150240111f385b8c0bda6745beaeafe,1478047981,1478048846,104.10175,30.70445,104.04329,30.717426,31981,32846,7503,1071,277.0,651.0,651.0,92.0,1174.0,1174.0
14778,dfacb68a709101341a8902a4cc2fe742,1478046264,1478047580,104.03242,30.66985,104.10381,30.7174,30264,31580,11224,1603,9.0,537.0,537.0,38.0,548.0,548.0
14779,4150240111f385b8c0bda6745beaeafe,1478047981,1478048846,104.10175,30.70445,104.04329,30.717426,31981,32846,7503,1071,277.0,651.0,651.0,92.0,1174.0,1174.0
14780,e8ffc1390d9ab752cea1d79b626dc92c,1478044270,1478046015,103.98806,30.70961,104.05483,30.66438,28270,30015,10566,1509,101.0,2009.0,2009.0,117.0,536.0,536.0
14781,967a8602c0a2560d11c5087d707d5628,1478047025,1478048316,104.00106,30.6785,104.06017,30.65272,31025,32316,8240,1177,162.0,411.0,411.0,106.0,827.0,827.0
